순서,구분,신재생에너지원,사업명,용량(MW),준공일자,소재지
1,운영,태양광,태안건물옥상 태양광,0.555,2012-01-01,충남 태안군 태안읍 원북면
2,운영,태양광,세종시 자전거 태양광,1.875,2012-05-01,세종특별자치시
3,운영,태양광,세종시폐기물태양광,1.628,2012-06-01,세종특별자치시 고운동
4,운영,태양광,세종시 수질복원 태양광,1.5,2012-04-01,세종특별자치시 금송로 612
5,운영,태양광,태안수상태양광,1.836,2016-05-01,충남 태안군 태안읍 원북면
6,운영,태양광,태안부지 태양광 1호기,5,2017-06-01,충남 태안군 태안읍 원북면
7,운영,태양광,태안부지 태양광 2호기(대지),12.8,2017-12-01,충남 태안군 태안읍 원북면
8,운영,태양광,태안부지 태양광 2호기(건축물),1.72,2017-12-01,충남 태안군 태안읍 원북면
9,운영,태양광,태안저탄장 1호기,2.8,2018-05-01,충남 태안군 태안읍 원북면
10,운영,태양광,태안 새빛 태양광,0.128,2017-11-01,충남 태안군 태안읍
11,운영,태양광,경기도 안산선부 태양광,0.08,2012-12-01,경기 안산시
12,운영,태양광,경기도 안산공단 태양광,0.21,2012-12-01,경기 안산시
13,운영,태양광,경기도 안산목내 태양광,0.18,2012-12-01,경기 안산시
14,운영,태양광,경기도 안산성곡 태양광,0.17,2012-12-01,경기 안산시
15,운영,태양광,경기도 안산연성 태양광,1.49,2013-06-01,경기 안산시
16,운영,태양광,경기도 안산와동 태양광,0.21,2012-12-01,경기 안산시
17,운영,태양광,경기도 안산초지 태양광,0.16,2012-12-01,경기 안산시
18,운영,태양광,평택2복합태양광,0.455,2014-11-01,경기도 평택시 포승읍
19,운영,태양광,평택발전부지 태양광 1호기,2.22,2017-05-01,경기도 평택시 포승읍
20,운영,태양광,평택 석정태양광,0.198,2017-12-01,경기도 평택시 포승읍
21,운영,태양광,아산시 폐기물매립장,1.044,2018-12-01,충남 아산시
22,운영,태양광,서인천 부지1단계 태양광,1.099,2017-06-01,인천광역시 서구 장도로
23,운영,태양광,서인천 발전부지 태양광 2호기,0.09,2017-11-01,인천광역시 서구 장도로
24,운영,태양광,군산태양광 (RPA),0.264,2010-06-01,전북 군산시 구암 3.1로
25,운영,태양광,군산복합2단계 태양광,0.686,2017-11-01,전북 군산시 구암 3.1로
26,운영,태양광,삼랑진 태양광 (FIT),3,2018-04-01,전북 군산시 구암 3.1로
27,운영,태양광,영암F1 태양광,13.295,2012-12-01,전남 영암군 삼호읍 삼포리
28,운영,소수력,태안소수력,2.2,2017-09-01,충남 태안군 태안읍 원북면
29,운영,풍력,화순풍력,16,2015-11-01,전남 화순군 동면 청궁리
30,운영,연료전지,서인천 연료전지1,11.2,2014-08-01,인천광역시 서구 장도로
31,운영,연료전지,서인천 연료전지2,5.005,2016-04-01,인천광역시 서구 장도로
32,운영,연료전지,서인천 연료전지3,18,2019-03-01,인천광역시 서구 장도로
33,운영,연료전지,서인천 연료전지4,22,2020-06-01,인천광역시 서구 장도로
34,운영,연료전지,서인천 연료전지5,3.96,2020-12-01,인천광역시 서구 장도로
35,운영,연료전지,천안 청수 연료전지,5.28,2019-12-01,충청남도 천안시
36,운영,ESS,화순풍력,1.25,2015-11-01,전남 화순군 동면 청궁리
37,운영,ESS,세종 은하수 태양광,1,2016-05-01,세종특별자치시 고운동
38,운영,ESS,태안 태양광,8,2018-06-01,충남 태안군 태안읍 원북면
39,운영,ESS,기존 사내 연계,11.5,2019-05-01,충남 태안군 태안읍 원북면 등
40,운영,IGCC,IGCC,346.33,2016-08-01,충남 태안군 태안읍 원북면
41,운영,바이오,태안 #1~4 목질계바이오,90,2014-01-01,충남 태안군 태안읍 원북면
42,운영,바이오,평택 #2 바이오중유,70,2015-02-01,경기도 평택시 포승읍
43,운영,바이오,"태안 #2,3,4 유기성고형연료",75,2015-12-01,충남 태안군 태안읍 원북면
44,운영,태양광,시흥연성정수장,1.5,2013-12-01,경기 시흥시
45,운영,태양광,고흥태양광,1,2019-05-01,전라남도 고흥군
46,운영,ESS,세종시 수질복원 태양광 ESS,2,2019-12-01,세종특별자치시 금송로 612
47,운영,ESS,아산시 폐기물매립장 ESS,1,2019-12-01,충남 아산시
48,운영,ESS,고흥 ESS,1,2019-05-01,전라남도 고흥군
49,운영,연료전지,화성 남양 연료전지,20.24,2021-06-01,경기 화성시
50,운영,연료전지,경기 의왕 연료전지,9.9,2021-07-01,경기 의왕시
51,운영,연료전지,대전 학하 연료전지,6.16,2021-12-01,대전광역시
52,운영,연료전지,익산 연료전지,15,2022-04-01,전북 익산시
53,운영,풍력,장흥풍력,18,2021-09-01,전남 장흥군
54,운영,연료전지,이천관고 연료전지,9.6,2022-10-01,경기 이천시 
55,운영,연료전지,광주 초월 연료전지,9.6,2023-02-01,경기 광주시
56,운영,연료전지,화성남양 연료전지 2단계,19.8,2023-02-01,경기 화성시
57,운영,연료전지,광주 광산 연료전지,8.4,2023-01-01,광주광역시
58,운영,소수력,태안소수력#2,5,2021-06-01,충청남도 태안군
